ID,HouseholdCharacteristics,Periods,MedianDevelopmentPurchasingPower_1,PersonsWithPurchasingPowerDecrease_2,PersonsWithPurchasingPowerIncrease_3,k_20thPercentile_4,k_40thPercentile_5,k_60thPercentile_6,k_80thPercentile_7
262,1013603,2021JJ00,2.1,42.5,57.5,-11.1,-0.7,5.9,21.2
263,1013603,2022JJ00,-3.2,63.5,36.5,-10.0,-4.9,-1.0,7.2
264,1013604,2012JJ00,-1.0,54.2,45.8,-11.2,-3.2,1.7,11.1
265,1013604,2013JJ00,-2.9,60.8,39.2,-12.8,-5.2,-0.3,9.6
266,1013604,2014JJ00,2.1,41.6,58.4,-8.3,-0.4,5.0,17.3
267,1013604,2015JJ00,3.3,36.8,63.2,-7.5,0.8,6.6,19.4
268,1013604,2016JJ00,3.7,35.4,64.6,-7.4,1.2,6.8,20.0
269,1013604,2017JJ00,1.4,44.3,55.7,-8.2,-0.9,4.6,17.3
270,1013604,2018JJ00,1.2,44.8,55.2,-8.2,-1.0,4.0,14.9
271,1013604,2019JJ00,1.9,40.6,59.4,-7.5,-0.2,4.7,14.8
272,1013604,2020JJ00,3.9,32.5,67.5,-6.1,1.7,7.0,19.2
273,1013604,2021JJ00,2.5,39.1,60.9,-6.8,0.2,5.5,17.2
274,1013604,2022JJ00,-3.2,61.7,38.3,-9.9,-4.5,-0.5,8.3
275,1013650,2012JJ00,-1.3,67.1,32.9,-5.9,-1.9,-0.7,3.0
276,1013650,2013JJ00,-2.5,73.1,26.9,-8.0,-3.7,-1.6,1.7
277,1013650,2014JJ00,1.0,38.0,62.0,-4.0,0.2,1.7,5.5
278,1013650,2015JJ00,0.3,45.8,54.2,-4.2,-0.4,0.9,4.4
279,1013650,2016JJ00,1.0,36.9,63.1,-3.4,0.3,1.5,4.8
280,1013650,2017JJ00,0.0,49.7,50.3,-3.8,-0.6,0.5,3.8
281,1013650,2018JJ00,-0.3,58.3,41.7,-3.4,-0.7,0.1,3.5
282,1013650,2019JJ00,0.7,31.9,68.1,-2.0,0.3,1.1,4.5
283,1013650,2020JJ00,1.3,28.3,71.7,-2.6,0.9,1.7,4.6
284,1013650,2021JJ00,-0.2,55.6,44.4,-2.9,-0.5,0.2,4.8
285,1013650,2022JJ00,-2.7,63.4,36.6,-5.2,-3.3,-1.1,4.5
286,1013700,2012JJ00,-1.2,67.4,32.6,-5.2,-1.8,-0.6,2.6
287,1013700,2013JJ00,-2.8,75.2,24.8,-7.7,-3.8,-1.8,1.0
288,1013700,2014JJ00,0.8,38.8,61.2,-3.7,0.1,1.5,4.6
289,1013700,2015JJ00,0.1,47.6,52.4,-3.8,-0.5,0.7,3.6
290,1013700,2016JJ00,0.9,37.8,62.2,-3.1,0.2,1.4,4.0
291,1013700,2017JJ00,-0.1,52.7,47.3,-3.7,-0.7,0.4,3.0
292,1013700,2018JJ00,-0.3,59.7,40.3,-3.2,-0.7,0.0,2.9
293,1013700,2019JJ00,0.7,31.5,68.5,-1.8,0.4,1.1,4.0
294,1013700,2020JJ00,1.2,28.6,71.4,-2.6,0.8,1.6,4.0
295,1013700,2021JJ00,-0.3,57.4,42.6,-2.8,-0.6,0.1,4.0
296,1013700,2022JJ00,-3.0,70.1,29.9,-5.4,-3.5,-2.3,3.1
297,1013750,2012JJ00,-1.6,57.5,42.5,-12.8,-4.0,0.6,7.6
298,1013750,2013JJ00,-1.5,55.8,44.2,-13.5,-4.2,1.1,8.8
299,1013750,2014JJ00,0.3,49.0,51.0,-12.2,-2.6,2.7,10.5
300,1013750,2015JJ00,0.6,47.1,52.9,-11.0,-1.8,2.9,11.2
301,1013750,2016JJ00,1.6,42.8,57.2,-10.1,-0.7,3.8,11.9
302,1013750,2017JJ00,0.6,46.8,53.2,-10.5,-1.4,2.9,12.0
303,1013750,2018JJ00,0.8,45.2,54.8,-9.9,-1.0,3.0,11.8
304,1013750,2019JJ00,1.3,43.6,56.4,-10.4,-0.9,3.6,12.1
305,1013750,2020JJ00,1.7,44.0,56.0,-12.5,-1.3,4.1,12.9
306,1013750,2021JJ00,1.4,45.2,54.8,-14.0,-1.8,4.7,14.3
307,1013750,2022JJ00,-0.1,50.5,49.5,-16.8,-3.8,2.7,11.7
308,1013800,2012JJ00,-1.3,64.2,35.8,-8.0,-2.3,-0.5,4.5
309,1013800,2013JJ00,-1.7,64.4,35.6,-8.6,-2.8,-0.7,4.7
310,1013800,2014JJ00,0.9,41.6,58.4,-5.7,-0.2,1.8,7.9
311,1013800,2015JJ00,0.5,45.0,55.0,-5.8,-0.5,1.4,8.1
312,1013800,2016JJ00,1.3,33.4,66.6,-4.3,0.7,2.4,8.7
313,1013800,2017JJ00,0.3,45.8,54.2,-5.4,-0.4,1.2,7.5
314,1013800,2018JJ00,0.1,48.4,51.6,-5.3,-0.4,0.9,7.3
315,1013800,2019JJ00,1.0,33.3,66.7,-4.1,0.4,1.9,8.2
316,1013800,2020JJ00,1.7,29.9,70.1,-4.2,1.3,2.6,9.1
317,1013800,2021JJ00,0.2,44.6,55.4,-6.0,-0.2,1.1,7.5
318,1013800,2022JJ00,-0.9,53.3,46.7,-6.8,-2.4,1.9,6.7
319,1013850,2012JJ00,-1.2,68.5,31.5,-4.6,-1.7,-0.7,2.1
320,1013850,2013JJ00,-2.9,77.6,22.4,-7.3,-3.8,-2.0,0.5
321,1013850,2014JJ00,0.8,37.9,62.1,-3.0,0.2,1.4,4.0
322,1013850,2015JJ00,0.1,47.7,52.3,-3.2,-0.5,0.7,2.9
323,1013850,2016JJ00,0.8,37.9,62.1,-2.7,0.2,1.3,3.3
324,1013850,2017JJ00,-0.2,53.6,46.4,-3.2,-0.7,0.3,2.3
325,1013850,2018JJ00,-0.4,61.4,38.6,-2.7,-0.7,0.0,2.3
326,1013850,2019JJ00,0.7,30.7,69.3,-1.4,0.4,1.0,3.5
327,1013850,2020JJ00,1.1,27.6,72.4,-2.0,0.8,1.5,3.3
328,1013850,2021JJ00,-0.3,59.0,41.0,-2.3,-0.6,0.0,3.3
329,1013850,2022JJ00,-3.1,72.3,27.7,-5.2,-3.5,-2.5,2.4
330,1013900,2012JJ00,-1.6,66.7,33.3,-7.6,-2.4,-1.0,4.6
331,1013900,2013JJ00,-1.5,64.3,35.7,-8.0,-2.0,-0.7,5.4
332,1013900,2014JJ00,2.0,29.1,70.9,-3.2,1.4,2.9,10.3
333,1013900,2015JJ00,1.1,33.7,66.3,-4.0,0.5,2.1,8.4
334,1013900,2016JJ00,1.4,28.3,71.7,-3.0,1.1,2.3,8.2
335,1013900,2017JJ00,0.7,32.3,67.7,-2.7,0.3,1.6,7.3
336,1013900,2018JJ00,0.0,50.7,49.3,-3.5,-0.4,0.7,6.3
337,1013900,2019JJ00,0.7,31.5,68.5,-2.2,0.3,1.4,6.8
338,1013900,2020JJ00,1.7,24.1,75.9,-1.4,1.4,2.1,7.0
339,1013900,2021JJ00,0.2,46.6,53.4,-2.0,-0.2,1.6,7.9
340,1013900,2022JJ00,4.2,23.9,76.1,-1.6,2.8,5.1,8.2
341,1013950,2012JJ00,-1.8,67.1,32.9,-7.9,-2.6,-1.1,4.4
342,1013950,2013JJ00,-1.5,63.3,36.7,-8.0,-2.0,-0.5,5.5
343,1013950,2014JJ00,2.1,27.9,72.1,-3.0,1.6,3.1,10.5
344,1013950,2015JJ00,1.2,32.2,67.8,-3.8,0.7,2.3,8.4
345,1013950,2016JJ00,1.5,27.5,72.5,-2.8,1.1,2.5,8.3
346,1013950,2017JJ00,0.8,30.1,69.9,-2.4,0.4,1.8,7.5
347,1013950,2018JJ00,0.0,50.1,49.9,-3.2,-0.4,0.9,6.6
348,1013950,2019JJ00,0.8,31.3,68.7,-2.2,0.3,1.6,7.1
349,1013950,2020JJ00,1.7,24.4,75.6,-1.5,1.4,2.2,7.2
350,1013950,2021JJ00,0.3,47.4,52.6,-1.7,-0.3,1.9,8.2
351,1013950,2022JJ00,4.4,21.3,78.7,-0.5,3.0,5.2,8.6
352,1014040,2012JJ00,-1.2,66.3,33.7,-5.8,-1.8,-0.7,4.7
353,1014040,2013JJ00,-1.8,68.3,31.7,-7.0,-2.2,-1.2,4.4
354,1014040,2014JJ00,1.3,32.3,67.7,-3.4,0.7,2.0,8.9
355,1014040,2015JJ00,0.6,38.4,61.6,-3.8,0.1,1.3,7.9
356,1014040,2016JJ00,1.2,29.5,70.5,-3.0,0.9,1.8,7.5
357,1014040,2017JJ00,0.4,39.2,60.8,-3.1,0.0,0.8,6.2
358,1014040,2018JJ00,-0.1,52.9,47.1,-4.0,-0.5,0.2,4.9
359,1014040,2019JJ00,0.5,31.7,68.3,-1.9,0.3,0.9,5.2
360,1014040,2020JJ00,1.8,22.3,77.7,-0.8,1.5,2.0,5.9
361,1014040,2021JJ00,0.2,44.3,55.7,-3.1,-0.1,0.7,6.7
362,1014040,2022JJ00,3.5,30.7,69.3,-2.9,2.1,4.7,7.3
363,1014050,2012JJ00,-5.0,61.2,38.8,-32.1,-11.3,-0.9,19.3
364,1014050,2013JJ00,1.0,48.2,51.8,-27.7,-6.3,6.3,25.2
365,1014050,2014JJ00,-2.0,55.4,44.6,-28.2,-7.1,2.4,23.2
366,1014050,2015JJ00,0.1,49.8,50.2,-30.1,-8.3,4.2,24.4
367,1014050,2016JJ00,-1.1,52.4,47.6,-31.7,-9.5,2.5,24.3
368,1014050,2017JJ00,-4.9,58.3,41.7,-36.3,-14.1,0.8,21.7
369,1014050,2018JJ00,-2.2,56.1,43.9,-34.7,-10.3,1.4,21.9
370,1014050,2019JJ00,-2.2,57.8,42.2,-28.0,-7.1,1.2,24.0
371,1014050,2020JJ00,0.4,48.7,51.3,-24.4,-4.2,3.4,24.7
372,1014050,2021JJ00,0.2,48.8,51.2,-19.7,-2.9,5.9,31.1
373,1014050,2022JJ00,-1.1,52.3,47.7,-21.8,-5.1,4.7,26.6
374,1014800,2012JJ00,-0.8,55.7,44.3,-8.7,-2.4,0.8,6.9
375,1014800,2013JJ00,-0.5,52.6,47.4,-8.5,-2.3,1.4,7.8
376,1014800,2014JJ00,2.2,36.6,63.4,-5.7,0.6,4.1,11.2
377,1014800,2015JJ00,1.6,39.6,60.4,-6.3,0.1,3.6,10.7
378,1014800,2016JJ00,3.5,32.2,67.8,-4.1,1.4,5.7,13.3
379,1014800,2017JJ00,0.7,45.0,55.0,-6.3,-0.7,2.8,10.7
380,1014800,2018JJ00,0.9,44.3,55.7,-6.1,-0.5,3.0,10.8
381,1014800,2019JJ00,1.8,36.6,63.4,-5.3,0.4,3.8,11.6
382,1014800,2020JJ00,2.8,32.8,67.2,-5.4,1.1,5.1,12.7
383,1014800,2021JJ00,1.6,40.9,59.1,-5.7,-0.1,3.9,12.3
384,1014800,2022JJ00,-1.8,58.5,41.5,-8.2,-3.4,0.3,7.4
385,1014850,2012JJ00,-1.4,62.2,37.8,-9.5,-2.5,-0.4,6.6
386,1014850,2013JJ00,-1.9,63.0,37.0,-10.4,-3.5,-0.5,6.9
387,1014850,2014JJ00,1.4,38.1,61.9,-6.3,0.2,2.7,11.3
388,1014850,2015JJ00,1.0,40.8,59.2,-5.9,-0.1,2.4,11.7
389,1014850,2016JJ00,2.0,31.2,68.8,-4.3,1.1,4.2,13.6
390,1014850,2017JJ00,0.6,41.4,58.6,-5.3,-0.1,2.0,11.9
391,1014850,2018JJ00,0.1,48.0,52.0,-5.3,-0.4,1.8,11.9
392,1014850,2019JJ00,1.2,32.3,67.7,-4.2,0.6,2.9,12.7
393,1014850,2020JJ00,2.1,28.5,71.5,-4.1,1.4,4.0,13.6
394,1014850,2021JJ00,0.8,42.8,57.2,-4.4,-0.2,3.1,13.5
395,1014850,2022JJ00,0.7,47.8,52.2,-6.4,-2.0,3.3,11.3
396,1014950,2012JJ00,-1.1,59.7,40.3,-9.0,-2.3,0.1,6.9
397,1014950,2013JJ00,-2.3,62.2,37.8,-10.0,-4.0,-0.5,7.1
398,1014950,2014JJ00,1.0,41.4,58.6,-6.6,-0.2,2.7,11.0
399,1014950,2015JJ00,0.5,45.8,54.2,-6.5,-0.6,2.4,11.5
400,1014950,2016JJ00,2.4,33.1,66.9,-4.3,0.9,5.0,14.7
401,1014950,2017JJ00,0.1,48.4,51.6,-6.0,-0.7,2.0,12.3
402,1014950,2018JJ00,0.2,47.7,52.3,-5.6,-0.6,2.3,12.6
403,1014950,2019JJ00,1.7,31.7,68.3,-4.3,0.8,3.8,13.7
404,1014950,2020JJ00,2.6,29.3,70.7,-4.5,1.2,5.1,15.1
405,1014950,2021JJ00,1.6,40.2,59.8,-4.8,0.0,4.0,14.7
406,1014950,2022JJ00,-1.3,55.2,44.8,-7.6,-2.8,1.4,10.7
407,1014900,2012JJ00,-1.7,69.5,30.5,-8.4,-2.5,-1.1,3.6
408,1014900,2013JJ00,-1.5,66.4,33.6,-7.6,-2.2,-0.7,4.3
409,1014900,2014JJ00,1.5,32.7,67.3,-4.2,0.8,2.2,7.3
410,1014900,2015JJ00,1.2,32.9,67.1,-3.4,0.6,2.0,9.0
411,1014900,2016JJ00,1.7,27.0,73.0,-2.8,1.3,2.5,8.6
412,1014900,2017JJ00,0.7,31.7,68.3,-3.1,0.4,1.3,7.7
413,1014900,2018JJ00,0.0,50.9,49.1,-3.9,-0.4,0.5,7.1
414,1014900,2019JJ00,0.8,32.6,67.4,-3.1,0.3,1.3,7.5
415,1014900,2020JJ00,1.7,26.5,73.5,-2.7,1.4,2.3,8.7
416,1014900,2021JJ00,0.1,47.9,52.1,-3.0,-0.3,1.1,8.5
417,1014900,2022JJ00,2.5,38.7,61.3,-4.1,0.5,4.1,9.6
418,1020870,2012JJ00,-1.8,63.0,37.0,-14.6,-3.6,-0.7,10.6
419,1020870,2013JJ00,-1.5,59.7,40.3,-14.9,-3.0,0.1,12.2
420,1020870,2014JJ00,1.8,38.1,61.9,-10.3,0.5,3.4,17.5
421,1020870,2015JJ00,1.0,40.5,59.5,-10.2,-0.1,3.0,16.5
422,1020870,2016JJ00,1.7,34.3,65.7,-8.6,1.0,3.8,16.2
423,1020870,2017JJ00,0.7,38.6,61.4,-7.8,0.1,2.2,14.5
424,1020870,2018JJ00,0.1,48.8,51.2,-7.2,-0.5,1.5,13.3
425,1020870,2019JJ00,0.8,35.7,64.3,-6.1,0.3,2.1,12.7
426,1020870,2020JJ00,1.8,30.1,69.9,-5.9,1.3,2.8,13.0
427,1020870,2021JJ00,0.2,47.2,52.8,-5.8,-0.3,2.1,13.2
428,1020870,2022JJ00,3.6,32.9,67.1,-5.9,2.0,5.2,12.9
429,1020880,2012JJ00,-1.5,64.8,35.2,-9.6,-2.4,-0.7,5.7
430,1020880,2013JJ00,-1.5,62.4,37.6,-10.6,-2.7,-0.3,6.3
431,1020880,2014JJ00,1.3,37.5,62.5,-6.6,0.3,2.4,10.2
432,1020880,2015JJ00,0.9,40.3,59.7,-6.1,0.0,1.8,10.7
433,1020880,2016JJ00,1.8,30.7,69.3,-4.7,1.2,3.1,11.9
434,1020880,2017JJ00,0.6,38.7,61.3,-4.9,0.1,1.5,10.6
435,1020880,2018JJ00,0.1,48.6,51.4,-4.6,-0.3,1.2,10.7
436,1020880,2019JJ00,1.0,32.1,67.9,-3.9,0.5,1.9,10.8
437,1020880,2020JJ00,1.8,28.1,71.9,-4.4,1.4,2.9,11.7
438,1020880,2021JJ00,0.2,46.8,53.2,-4.6,-0.3,1.5,11.3
439,1020880,2022JJ00,-1.1,53.8,46.2,-6.3,-2.7,1.7,8.4
440,1020890,2012JJ00,-1.1,61.1,38.9,-8.4,-2.2,-0.1,5.5
441,1020890,2013JJ00,-1.7,61.6,38.4,-9.0,-3.2,-0.3,5.5
442,1020890,2014JJ00,1.2,38.8,61.2,-5.7,0.1,2.4,9.0
443,1020890,2015JJ00,0.7,43.9,56.1,-5.7,-0.4,1.9,9.5
444,1020890,2016JJ00,2.0,30.8,69.2,-3.8,1.1,4.2,12.0
445,1020890,2017JJ00,0.5,43.9,56.1,-5.1,-0.3,1.7,10.0
446,1020890,2018JJ00,0.2,47.1,52.9,-4.9,-0.4,1.7,10.3
447,1020890,2019JJ00,1.1,33.4,66.6,-4.4,0.5,2.5,10.8
448,1020890,2020JJ00,2.0,29.1,70.9,-4.2,1.2,3.9,12.2
449,1020890,2021JJ00,0.6,44.2,55.8,-5.0,-0.3,2.4,11.4
450,1020890,2022JJ00,-2.2,60.0,40.0,-7.3,-3.2,0.0,8.6
451,1020900,2012JJ00,-0.9,57.4,42.6,-8.4,-2.1,0.4,6.2
452,1020900,2013JJ00,-1.3,58.2,41.8,-8.9,-3.0,0.3,6.4
453,1020900,2014JJ00,1.7,37.5,62.5,-5.7,0.4,3.4,10.0
454,1020900,2015JJ00,0.9,43.4,56.6,-6.2,-0.4,2.7,10.2
455,1020900,2016JJ00,2.9,31.7,68.3,-4.1,1.1,5.3,13.3
456,1020900,2017JJ00,0.5,45.3,54.7,-5.9,-0.5,2.3,10.9
457,1020900,2018JJ00,0.5,45.5,54.5,-5.6,-0.5,2.5,11.3
458,1020900,2019JJ00,1.4,34.9,65.1,-5.0,0.5,3.3,11.7
459,1020900,2020JJ00,2.4,30.7,69.3,-4.8,1.1,4.8,13.3
460,1020900,2021JJ00,1.1,42.7,57.3,-5.7,-0.3,3.3,12.4
461,1020900,2022JJ00,-2.1,59.2,40.8,-7.8,-3.3,0.2,8.8
462,1020910,2012JJ00,-0.8,55.7,44.3,-8.4,-2.1,0.7,6.6
463,1020910,2013JJ00,-1.0,55.7,44.3,-8.6,-2.8,0.8,6.9
464,1020910,2014JJ00,2.1,35.8,64.2,-5.4,0.7,4.0,10.4
465,1020910,2015JJ00,1.3,40.6,59.4,-5.8,-0.1,3.2,10.4
466,1020910,2016JJ00,3.6,31.2,68.8,-3.8,1.4,5.9,13.5
467,1020910,2017JJ00,0.6,45.6,54.4,-6.0,-0.6,2.6,10.6
468,1020910,2018JJ00,0.8,45.0,55.0,-5.7,-0.6,2.9,11.1
469,1020910,2019JJ00,1.8,35.4,64.6,-5.0,0.5,3.8,11.6
470,1020910,2020JJ00,2.9,31.1,68.9,-4.7,1.1,5.2,13.0
471,1020910,2021JJ00,1.6,40.9,59.1,-5.4,-0.1,3.7,12.0
472,1020910,2022JJ00,-1.8,58.2,41.8,-7.7,-3.3,0.4,8.2
473,1020920,2012JJ00,-0.8,55.5,44.5,-8.5,-2.2,0.8,6.6
474,1020920,2013JJ00,-0.8,54.1,45.9,-8.5,-2.7,1.1,7.3
475,1020920,2014JJ00,2.4,35.5,64.5,-5.4,0.8,4.2,10.7
476,1020920,2015JJ00,1.7,38.5,61.5,-5.7,0.2,3.7,10.6
477,1020920,2016JJ00,3.8,31.2,68.8,-3.7,1.7,6.1,13.6
478,1020920,2017JJ00,0.7,45.5,54.5,-6.0,-0.7,2.7,10.4
479,1020920,2018JJ00,0.9,44.5,55.5,-5.7,-0.6,3.0,10.8
480,1020920,2019JJ00,2.1,35.3,64.7,-4.9,0.6,4.0,11.4
481,1020920,2020JJ00,3.0,31.9,68.1,-4.7,1.1,5.2,12.7
482,1020920,2021JJ00,1.8,40.1,59.9,-5.4,0.0,3.9,11.9
483,1020920,2022JJ00,-1.6,57.5,42.5,-7.7,-3.3,0.6,8.0
484,1020930,2012JJ00,-0.8,55.4,44.6,-8.6,-2.4,0.8,6.7
485,1020930,2013JJ00,-0.5,52.7,47.3,-8.4,-2.5,1.4,7.7
486,1020930,2014JJ00,2.4,35.8,64.2,-5.5,0.8,4.3,10.8
487,1020930,2015JJ00,1.9,37.6,62.4,-5.5,0.3,3.9,10.7
488,1020930,2016JJ00,3.8,31.9,68.1,-3.7,1.6,6.0,13.4
489,1020930,2017JJ00,0.7,45.6,54.4,-6.1,-0.8,2.8,10.4
490,1020930,2018JJ00,1.0,44.3,55.7,-5.8,-0.6,3.1,10.7
491,1020930,2019JJ00,2.2,35.6,64.4,-5.0,0.6,4.1,11.4
492,1020930,2020JJ00,3.2,32.1,67.9,-4.8,1.2,5.4,12.9
493,1020930,2021JJ00,2.0,39.4,60.6,-5.4,0.1,4.1,12.1
494,1020930,2022JJ00,-1.4,56.8,43.2,-8.0,-3.2,0.7,8.0
495,1020940,2012JJ00,-0.9,55.7,44.3,-8.8,-2.6,0.8,6.8
496,1020940,2013JJ00,-0.4,52.2,47.8,-8.4,-2.4,1.6,7.9
497,1020940,2014JJ00,2.2,37.1,62.9,-5.8,0.6,4.2,10.8
498,1020940,2015JJ00,2.1,37.4,62.6,-5.7,0.4,4.1,11.0
499,1020940,2016JJ00,3.8,32.5,67.5,-3.9,1.6,6.0,13.5
500,1020940,2017JJ00,0.8,45.3,54.7,-6.4,-0.8,3.0,10.6
501,1020940,2018JJ00,1.1,43.9,56.1,-6.2,-0.6,3.3,10.9
502,1020940,2019JJ00,2.2,36.6,63.4,-5.3,0.5,4.2,11.7
503,1020940,2020JJ00,3.4,32.6,67.4,-5.1,1.3,5.7,13.2
504,1020940,2021JJ00,2.2,38.7,61.3,-5.6,0.2,4.5,12.6
505,1020940,2022JJ00,-1.3,56.0,44.0,-8.4,-3.1,0.9,8.1
506,1020950,2012JJ00,-1.1,56.0,44.0,-9.2,-2.8,0.8,7.4
507,1020950,2013JJ00,-0.4,51.8,48.2,-8.9,-2.4,1.8,8.7
508,1020950,2014JJ00,2.0,39.2,60.8,-6.6,0.2,4.1,11.4
509,1020950,2015JJ00,2.2,37.8,62.2,-6.2,0.4,4.3,11.7
510,1020950,2016JJ00,3.7,33.0,67.0,-4.4,1.6,6.0,14.0
511,1020950,2017JJ00,0.9,45.4,54.6,-7.0,-0.9,3.1,11.2
512,1020950,2018JJ00,1.3,43.5,56.5,-6.9,-0.6,3.5,11.5
513,1020950,2019JJ00,2.1,37.9,62.1,-5.9,0.4,4.4,12.3
514,1020950,2020JJ00,3.5,33.6,66.4,-5.7,1.4,5.9,13.8
515,1020950,2021JJ00,2.4,38.5,61.5,-6.0,0.3,4.9,13.5
516,1020950,2022JJ00,-1.3,55.9,44.1,-9.2,-3.2,1.0,8.3
517,1020960,2012JJ00,-1.1,54.6,45.4,-12.4,-3.4,1.5,11.5
518,1020960,2013JJ00,-0.6,52.3,47.7,-12.4,-3.2,2.2,13.0
519,1020960,2014JJ00,2.4,40.9,59.1,-9.3,-0.2,5.7,23.2
520,1020960,2015JJ00,1.7,43.6,56.4,-15.5,-1.1,4.6,15.8
521,1020960,2016JJ00,3.6,36.2,63.8,-7.7,1.0,6.6,19.2
522,1020960,2017JJ00,1.4,44.6,55.4,-9.8,-1.1,4.8,19.6
523,1020960,2018JJ00,1.4,44.8,55.2,-12.1,-1.2,4.5,16.9
524,1020960,2019JJ00,2.7,39.4,60.6,-8.9,0.1,6.2,21.8
525,1020960,2020JJ00,3.0,40.0,60.0,-13.4,0.0,6.2,18.2
526,1020960,2021JJ00,2.9,40.2,59.8,-9.4,-0.1,6.5,21.2
527,1020960,2022JJ00,-1.8,56.6,43.4,-12.6,-4.3,1.1,10.7
